model,attack,seed,threshold_kind,detected,delay_s,sustained_frac
lstm,SYN,42,default,True,10.763,0.499
lstm,SYN,42,0.1,True,10.763,0.654
lstm,SYN,43,default,True,5.612,0.972
lstm,SYN,43,0.1,True,4.369,0.999
lstm,SYN,44,default,True,5.612,0.998
lstm,SYN,44,0.1,True,5.612,0.999
lstm,ICMP,42,default,True,5.79,0.002
lstm,ICMP,42,0.1,True,5.79,0.003
lstm,ICMP,43,default,True,4.401,0.003
lstm,ICMP,43,0.1,True,4.401,0.016
lstm,ICMP,44,default,True,5.79,0.116
lstm,ICMP,44,0.1,True,5.79,0.117
lstm,UDP-frag,42,default,True,0.827,0.583
lstm,UDP-frag,42,0.1,True,0.827,0.69
lstm,UDP-frag,43,default,True,0.827,0.503
lstm,UDP-frag,43,0.1,True,0.827,0.52
lstm,UDP-frag,44,default,True,0.827,0.641
lstm,UDP-frag,44,0.1,True,0.827,0.922
lstm,DNS,42,default,True,16.022,0.427
lstm,DNS,42,0.1,True,16.022,0.717
lstm,DNS,43,default,True,426.757,0.014
lstm,DNS,43,0.1,True,20.211,0.597
lstm,DNS,44,default,True,21.162,0.279
lstm,DNS,44,0.1,True,9.908,0.594
lstm,GTP-U,42,default,False,,0.0
lstm,GTP-U,42,0.1,False,,0.0
lstm,GTP-U,43,default,False,,0.0
lstm,GTP-U,43,0.1,False,,0.0
lstm,GTP-U,44,default,False,,0.0
lstm,GTP-U,44,0.1,False,,0.0
tcn,SYN,42,default,True,10.763,0.997
tcn,SYN,42,0.1,True,10.763,0.997
tcn,SYN,43,default,True,9.501,0.998
tcn,SYN,43,0.1,True,9.501,0.998
tcn,SYN,44,default,True,10.763,0.738
tcn,SYN,44,0.1,True,10.763,0.854
tcn,ICMP,42,default,True,5.79,0.011
tcn,ICMP,42,0.1,True,5.79,0.052
tcn,ICMP,43,default,True,5.79,0.116
tcn,ICMP,43,0.1,True,4.401,0.161
tcn,ICMP,44,default,True,5.79,0.116
tcn,ICMP,44,0.1,True,5.79,0.116
tcn,UDP-frag,42,default,True,0.827,0.519
tcn,UDP-frag,42,0.1,True,0.827,0.968
tcn,UDP-frag,43,default,True,0.827,0.518
tcn,UDP-frag,43,0.1,True,0.827,0.636
tcn,UDP-frag,44,default,True,0.827,0.695
tcn,UDP-frag,44,0.1,True,0.827,0.914
tcn,DNS,42,default,True,16.022,0.167
tcn,DNS,42,0.1,True,16.022,0.409
tcn,DNS,43,default,True,426.11,0.004
tcn,DNS,43,0.1,True,10.884,0.393
tcn,DNS,44,default,True,16.022,0.495
tcn,DNS,44,0.1,True,5.746,0.519
tcn,GTP-U,42,default,False,,0.0
tcn,GTP-U,42,0.1,True,2269.81,0.0
tcn,GTP-U,43,default,True,319.589,0.003
tcn,GTP-U,43,0.1,True,31.405,0.009
tcn,GTP-U,44,default,False,,0.0
tcn,GTP-U,44,0.1,True,2151.414,0.0
transformer,SYN,42,default,True,10.763,0.997
transformer,SYN,42,0.1,True,10.763,0.997
transformer,SYN,43,default,True,10.763,0.997
transformer,SYN,43,0.1,True,10.763,0.997
transformer,SYN,44,default,True,10.763,0.997
transformer,SYN,44,0.1,True,9.501,0.998
transformer,ICMP,42,default,True,5.79,0.004
transformer,ICMP,42,0.1,True,5.79,0.01
transformer,ICMP,43,default,True,10.889,0.118
transformer,ICMP,43,0.1,True,9.513,0.586
transformer,ICMP,44,default,True,461.966,0.001
transformer,ICMP,44,0.1,True,26.281,0.007
transformer,UDP-frag,42,default,True,0.827,0.885
transformer,UDP-frag,42,0.1,True,0.827,0.988
transformer,UDP-frag,43,default,True,0.827,0.999
transformer,UDP-frag,43,0.1,True,0.827,0.999
transformer,UDP-frag,44,default,True,0.827,0.998
transformer,UDP-frag,44,0.1,True,0.827,0.998
transformer,DNS,42,default,True,4.766,0.996
transformer,DNS,42,0.1,True,4.766,0.996
transformer,DNS,43,default,True,10.884,0.996
transformer,DNS,43,0.1,True,10.884,0.997
transformer,DNS,44,default,True,4.766,0.68
transformer,DNS,44,0.1,True,4.766,0.868
transformer,GTP-U,42,default,False,,0.0
transformer,GTP-U,42,0.1,False,,0.0
transformer,GTP-U,43,default,False,,0.0
transformer,GTP-U,43,0.1,False,,0.0
transformer,GTP-U,44,default,False,,0.0
transformer,GTP-U,44,0.1,False,,0.0
ae,SYN,42,default,True,0.446,0.021
ae,SYN,43,default,True,0.446,0.015
ae,SYN,44,default,True,0.446,0.514
ae,ICMP,42,default,True,5.79,0.042
ae,ICMP,43,default,True,4.401,0.393
ae,ICMP,44,default,True,35.253,0.306
ae,UDP-frag,42,default,True,0.827,0.034
ae,UDP-frag,43,default,True,0.827,0.32
ae,UDP-frag,44,default,True,0.827,0.014
ae,DNS,42,default,True,4.766,0.512
ae,DNS,43,default,True,426.11,0.507
ae,DNS,44,default,True,426.11,0.507
ae,GTP-U,42,default,True,26.254,0.071
ae,GTP-U,43,default,True,10.694,0.078
ae,GTP-U,44,default,True,31.405,0.071
