model,window,threshold,persistence,fa_per_hour,dns_delay_s,dns_sustained,gtpu_delay_s,gtpu_sustained
lstm,3,5.455893920043357e-06,1,2.655800169796867,5.746,0.9985704074338814,5.538,0.20017157563625965
lstm,3,5.455893920043357e-06,3,0.16963194697305337,16.022,0.9985704074338814,20.552,0.20017157563625965
lstm,3,1.937563503815916e-05,1,0.5247988359478839,5.746,0.997855611150822,15.418,0.14440949385187304
lstm,3,1.937563503815916e-05,3,0.031805990057447504,16.022,0.997855611150822,25.662,0.14440949385187304
lstm,3,0.0002039819455577348,1,0.03710698840035542,10.884,0.9892780557541101,25.662,0.05976551329711181
lstm,3,0.0002039819455577348,3,0.010601996685815835,21.162,0.9892780557541101,97.443,0.05976551329711181
lstm,3,0.5,1,0.0,21.162,0.24588992137240887,,0.0
lstm,3,0.5,3,0.0,51.92,0.24588992137240887,,0.0
lstm,5,1.615326950741291e-05,1,1.2669769611637105,16.022,0.9971408148677627,10.284,0.00028595939376608524
lstm,5,1.615326950741291e-05,3,0.3445753241658627,26.295,0.9971408148677627,,0.00028595939376608524
lstm,5,2.2870796727147167e-05,1,0.302166053499295,16.022,0.9971408148677627,,0.0
lstm,5,2.2870796727147167e-05,3,0.06891506483317254,26.295,0.9971408148677627,,0.0
lstm,5,0.00028165571495972165,1,0.02120463533328386,16.022,0.9971408148677627,,0.0
lstm,5,0.00028165571495972165,3,0.005301158833320965,26.295,0.9971408148677627,,0.0
lstm,5,0.5,1,0.0,31.439,0.22730521801286632,,0.0
lstm,5,0.5,3,0.005301158833320965,41.678,0.22730521801286632,,0.0
lstm,7,1.5870408105911317e-05,1,0.5407345720121205,5.746,0.993566833452466,,0.0
lstm,7,1.5870408105911317e-05,3,0.33398311800748615,16.022,0.993566833452466,,0.0
lstm,7,1.9438773242654872e-05,1,0.25446332800570376,5.746,0.993566833452466,,0.0
lstm,7,1.9438773242654872e-05,3,0.06361583200142594,16.022,0.993566833452466,,0.0
lstm,7,0.0030824450865607343,1,0.021205277333808645,4.766,0.9392423159399571,,0.0
lstm,7,0.0030824450865607343,3,0.021205277333808645,15.066,0.9392423159399571,,0.0
lstm,7,0.5,1,0.005301319333452161,16.022,0.6476054324517513,,0.0
lstm,7,0.5,3,0.005301319333452161,30.544,0.6476054324517513,,0.0
tcn,3,1.6053873126697975e-10,1,1.8924564084181266,5.746,0.501072194424589,,0.0
tcn,3,1.6053873126697975e-10,3,0.4028758740610018,16.022,0.501072194424589,,0.0
tcn,3,1.0718880286697856e-09,1,0.5884108160627789,5.746,0.501072194424589,,0.0
tcn,3,1.0718880286697856e-09,3,0.02650499171453959,16.022,0.501072194424589,,0.0
tcn,3,1.0808062538910363e-08,1,0.02650499171453959,5.746,0.501072194424589,,0.0
tcn,3,1.0808062538910363e-08,3,0.010601996685815835,16.022,0.501072194424589,,0.0
tcn,3,0.5,1,0.005300998342907918,16.022,0.37312365975696926,,0.0
tcn,3,0.5,3,0.005300998342907918,41.678,0.37312365975696926,,0.0
tcn,5,1.6965327542329058e-12,1,1.2828804376636735,5.746,0.501072194424589,15.418,0.012296253931941665
tcn,5,1.6965327542329058e-12,3,0.5248147244987755,16.022,0.501072194424589,133.372,0.012296253931941665
tcn,5,1.5114424220530128e-10,1,0.4081892301657143,5.746,0.501072194424589,,0.0
tcn,5,1.5114424220530128e-10,3,0.07951738249981447,16.022,0.501072194424589,,0.0
tcn,5,1.1364827264369786e-08,1,0.047710429499888685,5.746,0.501072194424589,,0.0
tcn,5,1.1364827264369786e-08,3,0.005301158833320965,16.022,0.501072194424589,,0.0
tcn,5,0.5,1,0.0,31.439,0.33738384560400286,,0.0
tcn,5,0.5,3,0.0,41.678,0.33738384560400286,,0.0
tcn,7,1.630012287546333e-25,1,1.9349815567100388,5.746,0.501072194424589,10.284,0.02287675150128682
tcn,7,1.630012287546333e-25,3,0.4135029080092686,16.022,0.501072194424589,20.552,0.02287675150128682
tcn,7,8.658403682390551e-25,1,0.4506121433434337,5.746,0.501072194424589,10.284,0.010580497569345154
tcn,7,8.658403682390551e-25,3,0.06361583200142594,16.022,0.501072194424589,20.552,0.010580497569345154
tcn,7,2.2742511162621297e-23,1,0.026506596667260806,5.746,0.501072194424589,10.284,0.0020017157563625965
tcn,7,2.2742511162621297e-23,3,0.005301319333452161,16.022,0.501072194424589,,0.0020017157563625965
tcn,7,0.5,1,0.005301319333452161,36.564,0.1708363116511794,,0.0
tcn,7,0.5,3,0.0,103.2,0.1708363116511794,,0.0
transformer,3,1.471719994015075e-06,1,2.014379370305009,5.746,0.501072194424589,10.284,0.19473834715470403
transformer,3,1.471719994015075e-06,3,0.3816718806893701,16.022,0.501072194424589,20.552,0.19473834715470403
transformer,3,1.5777359070625685e-06,1,0.5035948425762522,10.884,0.5003573981415297,10.284,0.17901058049756935
transformer,3,1.5777359070625685e-06,3,0.03710698840035542,21.162,0.5003573981415297,20.552,0.17901058049756935
transformer,3,1.8801483633413685e-06,1,0.031805990057447504,10.884,0.5003573981415297,10.284,0.1372605090077209
transformer,3,1.8801483633413685e-06,3,0.010601996685815835,21.162,0.5003573981415297,20.552,0.1372605090077209
transformer,3,0.5,1,0.005300998342907918,10.884,0.5003573981415297,,0.0
transformer,3,0.5,3,0.005300998342907918,21.162,0.5003573981415297,,0.0
transformer,5,7.818520880391588e-06,1,2.9686489466597403,16.022,0.4996426018584703,15.953,0.027738061195310266
transformer,5,7.818520880391588e-06,3,0.06361390599985157,26.295,0.4996426018584703,1127.126,0.027738061195310266
transformer,5,8.459352670797655e-06,1,0.6202355834985529,16.022,0.4996426018584703,51.943,0.017157563625965114
transformer,5,8.459352670797655e-06,3,0.01060231766664193,26.295,0.4996426018584703,1127.126,0.017157563625965114
transformer,5,9.354459906535473e-06,1,0.058312747166530614,16.022,0.498927805575411,51.943,0.009150700600514728
transformer,5,9.354459906535473e-06,3,0.0,26.295,0.498927805575411,,0.009150700600514728
transformer,5,0.5,1,0.0,21.162,0.29735525375268046,,0.0
transformer,5,0.5,3,0.005301158833320965,41.678,0.29735525375268046,,0.0
transformer,7,3.2840691289948113e-06,1,2.23185543938336,10.884,0.5003573981415297,10.284,0.10466113811838719
transformer,7,3.2840691289948113e-06,3,0.29157256333986886,21.162,0.5003573981415297,56.454,0.10466113811838719
