model,attack,recall_mean,recall_std,auc_mean,auc_std,n_seeds
ae,DNS,0.5085,0.0029,0.9887,0.0017,3
ae,GTP-U,0.0734,0.004,0.7793,0.0148,3
ae,ICMP,0.2467,0.1829,0.9865,0.0045,3
ae,SYN,0.1831,0.2862,0.985,0.0082,3
ae,UDP-frag,0.1227,0.1714,0.9873,0.0039,3
lstm,DNS,0.2402,0.2093,0.9968,0.0005,3
lstm,GTP-U,0.0,0.0,0.4601,0.0113,3
lstm,ICMP,0.0404,0.0658,0.9828,0.0008,3
lstm,SYN,0.8231,0.2807,0.9989,0.0015,3
lstm,UDP-frag,0.5758,0.0695,0.9957,0.004,3
tcn,DNS,0.2216,0.2501,0.791,0.1384,3
tcn,GTP-U,0.0011,0.002,0.6767,0.0189,3
tcn,ICMP,0.0811,0.0608,0.9156,0.0256,3
tcn,SYN,0.9111,0.1497,0.9991,0.0011,3
tcn,UDP-frag,0.5773,0.1023,0.9974,0.0027,3
transformer,DNS,0.8911,0.1824,0.9991,0.0009,3
transformer,GTP-U,0.0,0.0,0.7154,0.0557,3
transformer,ICMP,0.0411,0.0668,0.9772,0.0123,3
transformer,SYN,0.9971,0.0,0.9997,0.0001,3
transformer,UDP-frag,0.9605,0.0653,0.9995,0.0001,3
