model,window,protocol,seed,n_val,n_val_benign,default_threshold,q,threshold
ae,3,temporal,42,54152,54152,0.10950499773025513,0.9,0.01146941538900137
ae,3,temporal,42,54152,54152,0.10950499773025513,0.95,0.019279999658465385
ae,3,temporal,42,54152,54152,0.10950499773025513,0.99,0.06979043781757355
ae,3,temporal,42,54152,54152,0.10950499773025513,0.995,0.10950499773025513
ae,3,temporal,42,54152,54152,0.10950499773025513,0.999,0.22477233409881592
ae,3,temporal,42,54152,54152,0.10950499773025513,0.9999,1.2849663496017456
lstm,3,temporal,42,54808,54152,0.5,0.9,3.123037970453879e-07
lstm,3,temporal,42,54808,54152,0.5,0.95,2.0500674509094097e-06
lstm,3,temporal,42,54808,54152,0.5,0.99,2.128445339621976e-05
lstm,3,temporal,42,54808,54152,0.5,0.995,3.990168625023216e-05
lstm,3,temporal,42,54808,54152,0.5,0.999,0.00011215851554879919
lstm,3,temporal,42,54808,54152,0.5,0.9999,0.9542825222015381
tcn,3,temporal,42,54808,54152,0.5,0.9,4.371730841917776e-14
tcn,3,temporal,42,54808,54152,0.5,0.95,1.6826856748253238e-12
tcn,3,temporal,42,54808,54152,0.5,0.99,2.127359266523854e-08
tcn,3,temporal,42,54808,54152,0.5,0.995,1.4523263303090062e-07
tcn,3,temporal,42,54808,54152,0.5,0.999,7.823460350664391e-07
tcn,3,temporal,42,54808,54152,0.5,0.9999,0.9562104940414429
transformer,3,temporal,42,54808,54152,0.5,0.9,1.3582791780208936e-06
transformer,3,temporal,42,54808,54152,0.5,0.95,2.3442569272447145e-06
transformer,3,temporal,42,54808,54152,0.5,0.99,2.760608140306431e-06
transformer,3,temporal,42,54808,54152,0.5,0.995,3.012585921169375e-06
transformer,3,temporal,42,54808,54152,0.5,0.999,4.0146487663150765e-06
transformer,3,temporal,42,54808,54152,0.5,0.9999,0.9671792387962341
ae,5,temporal,42,54151,54151,0.12283849716186523,0.9,0.022353898733854294
ae,5,temporal,42,54151,54151,0.12283849716186523,0.95,0.034426864236593246
ae,5,temporal,42,54151,54151,0.12283849716186523,0.99,0.09098219871520996
ae,5,temporal,42,54151,54151,0.12283849716186523,0.995,0.12283849716186523
ae,5,temporal,42,54151,54151,0.12283849716186523,0.999,0.2713058888912201
ae,5,temporal,42,54151,54151,0.12283849716186523,0.9999,3.4243571758270264
lstm,5,temporal,42,54807,54151,0.5,0.9,5.813867574033793e-06
lstm,5,temporal,42,54807,54151,0.5,0.95,6.508263140858617e-06
lstm,5,temporal,42,54807,54151,0.5,0.99,2.5220402676495723e-05
lstm,5,temporal,42,54807,54151,0.5,0.995,4.84770534967538e-05
lstm,5,temporal,42,54807,54151,0.5,0.999,8.784491365076974e-05
lstm,5,temporal,42,54807,54151,0.5,0.9999,0.9583457112312317
tcn,5,temporal,42,54807,54151,0.5,0.9,7.744934691679157e-15
tcn,5,temporal,42,54807,54151,0.5,0.95,5.691050929124142e-12
tcn,5,temporal,42,54807,54151,0.5,0.99,8.747330184633029e-07
tcn,5,temporal,42,54807,54151,0.5,0.995,6.335600573947886e-06
tcn,5,temporal,42,54807,54151,0.5,0.999,5.523825893760659e-05
tcn,5,temporal,42,54807,54151,0.5,0.9999,0.9345119595527649
transformer,5,temporal,42,54807,54151,0.5,0.9,5.836855507368455e-06
transformer,5,temporal,42,54807,54151,0.5,0.95,6.953358024475165e-06
transformer,5,temporal,42,54807,54151,0.5,0.99,7.586601441289531e-06
transformer,5,temporal,42,54807,54151,0.5,0.995,7.796294994477648e-06
transformer,5,temporal,42,54807,54151,0.5,0.999,8.253889973275363e-06
transformer,5,temporal,42,54807,54151,0.5,0.9999,0.9518028497695923
ae,7,temporal,42,54149,54149,0.12759976089000702,0.9,0.02760179340839386
ae,7,temporal,42,54149,54149,0.12759976089000702,0.95,0.04506324604153633
ae,7,temporal,42,54149,54149,0.12759976089000702,0.99,0.1000487357378006
ae,7,temporal,42,54149,54149,0.12759976089000702,0.995,0.12759976089000702
ae,7,temporal,42,54149,54149,0.12759976089000702,0.999,0.3600499629974365
ae,7,temporal,42,54149,54149,0.12759976089000702,0.9999,2.0110113620758057
lstm,7,temporal,42,54805,54149,0.5,0.9,6.091652267059544e-07
lstm,7,temporal,42,54805,54149,0.5,0.95,2.6046918719657697e-06
lstm,7,temporal,42,54805,54149,0.5,0.99,2.8017655495204963e-05
lstm,7,temporal,42,54805,54149,0.5,0.995,5.5897762649692595e-05
lstm,7,temporal,42,54805,54149,0.5,0.999,8.379230712307617e-05
lstm,7,temporal,42,54805,54149,0.5,0.9999,0.9153558611869812
tcn,7,temporal,42,54805,54149,0.5,0.9,2.7227586625294207e-28
tcn,7,temporal,42,54805,54149,0.5,0.95,5.382694765238553e-25
tcn,7,temporal,42,54805,54149,0.5,0.99,5.58108395943664e-18
tcn,7,temporal,42,54805,54149,0.5,0.995,3.718782746680942e-16
tcn,7,temporal,42,54805,54149,0.5,0.999,6.072660413804568e-14
tcn,7,temporal,42,54805,54149,0.5,0.9999,0.9414399266242981
transformer,7,temporal,42,54805,54149,0.5,0.9,2.8708891477435827e-06
transformer,7,temporal,42,54805,54149,0.5,0.95,3.1749686968396418e-06
transformer,7,temporal,42,54805,54149,0.5,0.99,7.0094092734507285e-06
transformer,7,temporal,42,54805,54149,0.5,0.995,8.989969501271844e-06
transformer,7,temporal,42,54805,54149,0.5,0.999,2.798307832563296e-05
transformer,7,temporal,42,54805,54149,0.5,0.9999,0.9647254347801208
