threshold,tp,fp,tn,fn,accuracy,macro_f1,weighted_f1,fpr,fnr,mcc,auc,model,protocol,heldout,window,seed,epochs_ran,n_train,n_test,params,runtime_s,heldout_n,heldout_recall,heldout_auc_vs_benign,seen_recall,split
0.12527963519096375,591,667,134061,2822,0.9747431971681109,0.6201025808267149,0.9690171873665395,0.004950715515705718,0.8268385584529739,0.27487527882331797,0.9474008645135898,ae,loao,1.0,3,42,30,546953,138141,3314,371.6,1402.0,0.020684736091298145,0.9898436939484604,0.2794629537543511,
0.112019382417202,538,715,134013,4758,0.9609138433411415,0.5721444255127736,0.9491378946145627,0.005306988896146309,0.8984138972809668,0.1950339019060367,0.9639410745849172,ae,loao,2.0,3,42,30,545070,140024,3314,376.4,3756.0,0.04153354632587859,0.9847768875106324,0.24805194805194805,
0.11480692028999329,417,674,134054,2996,0.9734329417044904,0.5858325352317448,0.9666982189568252,0.0050026720503533045,0.8778200996191035,0.205488916152277,0.9416108523015099,ae,loao,3.0,3,42,30,546953,138141,3314,366.9,1402.0,0.033523537803138374,0.9879305933544259,0.1839880656389856,
0.1153206080198288,1393,803,133925,2017,0.9795856317595448,0.7432744719400535,0.9774210092682153,0.005960156760287394,0.5914956011730206,0.4993749399675865,0.9481386707502862,ae,loao,4.0,3,42,30,546956,138138,3314,373.1,1399.0,0.511794138670479,0.9898566657522853,0.33664843361511687,
0.11360141634941101,868,684,134043,4221,0.9649181781770326,0.6217193946951265,0.9558031483502972,0.0050769333541161015,0.8294360385144429,0.2958060723494123,0.8530301795001405,ae,loao,5.0,3,42,30,545272,139816,3314,372.7,3497.0,0.07120388904775522,0.78914034419542,0.3888190954773869,
0.14088891446590424,1557,723,134006,734,0.9893665158371041,0.8379222186952684,0.9893539382618218,0.005366327962057166,0.32038411174159753,0.6758464931469724,0.9367276643691996,ae,random,0.0,3,42,30,548078,137020,3314,346.2,,,,,
0.10950499773025513,2059,23453,108671,2837,0.8081301999708072,0.513758119538593,0.8650541373342422,0.1775074929611577,0.579452614379085,0.11589477578375071,0.6770909205315743,ae,temporal,0.0,3,42,30,548078,137020,3314,370.8,,,,,
0.5,2553,54,134674,860,0.9933835718577395,0.9223954269944181,0.9929505109154227,0.00040080755299566536,0.2519777322004102,0.8528726571048436,0.9985423659555333,lstm,loao,1.0,3,42,25,546953,138141,6177,368.1,1402.0,0.4992867332382311,0.9972014306671758,0.9214321233217305,
0.5,1417,4,134724,3879,0.9722690395932126,0.7038541631751432,0.9644666912835212,2.9689448370049286e-05,0.7324395770392749,0.5092056874155897,0.9872959811855903,lstm,loao,2.0,3,42,30,545070,140024,6177,436.4,3756.0,0.002129925452609159,0.9822255098253735,0.9149350649350649,
0.5,2673,53,134675,740,0.9942594884936405,0.9339451925432455,0.9939455847549249,0.00039338519090315304,0.21681804863756227,0.8736656005638196,0.9981944065775186,lstm,loao,3.0,3,42,30,546953,138141,6177,425.8,1402.0,0.5834522111269614,0.9964975609758163,0.9224266534062655,
0.5,2449,56,134672,961,0.992637796985623,0.9121513031152366,0.9920869073752473,0.00041565227718069,0.2818181818181818,0.8346464578088366,0.9981404370983327,lstm,loao,4.0,3,42,17,546956,138138,6177,260.3,1399.0,0.4274481772694782,0.9962287503450152,0.9204375932371954,
0.5,1590,48,134679,3499,0.9746309435257767,0.7298623351379929,0.968284089409011,0.00035627602485025276,0.68756140695618,0.5431706648930995,0.627243598975752,lstm,loao,5.0,3,42,16,545272,139816,6177,246.7,3497.0,0.0,0.4575771565413403,0.9987437185929648,
0.5,2140,60,134669,151,0.9984600788206102,0.9761171781864165,0.9984447372428595,0.0004453384200877317,0.06591008293321693,0.9524367966827659,,lstm,random,,3,42,15,548078,137020,6177,211.2,,,,,random
0.5,344,1,132123,4552,0.9667712742665304,0.5571671754137807,0.9526255586830242,7.5686476340407495e-06,0.9297385620915033,0.2602122395860528,0.757554650428158,lstm,temporal,0.0,3,42,26,548078,137020,6177,359.9,,,,,
0.5,3235,51,134677,178,0.9983422734742039,0.982483166654966,0.9983269503159589,0.00037854046671812836,0.052153530618224433,0.9651488280808226,0.9995338102011415,tcn,loao,1.0,3,42,14,546953,138141,11201,350.9,1402.0,0.9971469329529244,0.9996004630368062,0.91347588264545,
0.5,1445,3,134725,3851,0.9724761469462377,0.7072137747687809,0.9648176114710065,2.2267086277536963e-05,0.7271525679758308,0.5144688147327443,0.9228472929950303,tcn,loao,2.0,3,42,25,545070,140024,11201,615.7,3756.0,0.010915867944621939,0.8914232013332237,0.9116883116883117,
0.5,2583,55,134673,830,0.9935935022911373,0.9252341035454881,0.9931924232236237,0.0004082299150881777,0.24318781130969822,0.8579046422306361,0.9994767811028896,tcn,loao,3.0,3,42,23,546953,138141,11201,543.9,1402.0,0.5185449358059915,0.9994545305039388,0.922923918448533,
0.5,2090,50,134678,1320,0.9900823813867292,0.8740463430563383,0.9889709250808826,0.00037111810462561604,0.3870967741935484,0.7695942813284126,0.8748779761495347,tcn,loao,4.0,3,42,28,546956,138138,11201,682.1,1399.0,0.16654753395282346,0.6961633476098764,0.9234211834908006,
0.5,1590,49,134678,3499,0.9746237912685244,0.7298253482436999,0.9682779552169221,0.000363698442034633,0.68756140695618,0.5429939880282809,0.7641165043954019,tcn,loao,5.0,3,42,24,545272,139816,11201,552.2,3497.0,0.0,0.6567588338793818,0.9987437185929648,
0.5,2147,66,134663,144,0.9984673770252518,0.9762978306354355,0.9984543278491644,0.0004898722620965048,0.06285464862505456,0.9527435926019673,0.9994174720115445,tcn,random,0.0,3,42,15,548078,137020,11201,313.8,,,,,
0.5,522,2,132122,4374,0.968063056488104,0.5881646276815683,0.9554421147651392,1.5137295268081499e-05,0.8933823529411765,0.3205925197407974,0.6474884393545042,tcn,temporal,0.0,3,42,11,548078,137020,11201,254.9,,,,,
0.5,3223,66,134662,190,0.9981468210017301,0.9804264108438054,0.9981301035064694,0.0004898758981058132,0.05566949897450923,0.9610259378923821,0.9993666624343471,transformer,loao,1.0,3,42,11,546953,138141,9153,317.8,1402.0,0.9971469329529244,0.9997050987540511,0.9075087021382396,
0.5,1408,9,134719,3888,0.9721690567331315,0.7026136760075945,0.9643257030576332,6.680125883261089e-05,0.7341389728096677,0.5066067299178398,0.9747703765590772,transformer,loao,2.0,3,42,30,545070,140024,9153,862.3,3756.0,0.003727369542066028,0.96477992554114,0.9051948051948052,
0.5,3084,61,134667,329,0.9971767976198233,0.9695423635448674,0.997120513538049,0.0004527640876432516,0.09639613243480809,0.9399109677941594,0.99928704003994,transformer,loao,3.0,3,42,27,546953,138141,9153,771.7,1402.0,0.8851640513552068,0.9993461386055921,0.9164594728990552,
