threshold,tp,fp,tn,fn,accuracy,macro_f1,weighted_f1,fpr,fnr,mcc,model,window,threshold_q,persistence,threshold_resolved,fa_per_hour,dns_delay_s,dns_detected,gtpu_delay_s,gtpu_detected,dns_sustained,gtpu_sustained
3.123037970453879e-07,3103,26891,105233,1793,0.7906582980586776,0.5289659284006417,0.8549680512524245,0.20352850352698978,0.3662173202614379,0.19314115087525388,lstm,3,0.9,1,3.123037970453879e-07,28.339137141185727,5.746,True,5.538,True,0.9992852037169406,0.4875607663711753
3.123037970453879e-07,3103,26891,105233,1793,0.7906582980586776,0.5289659284006417,0.8549680512524245,0.20352850352698978,0.3662173202614379,0.19314115087525388,lstm,3,0.9,2,3.123037970453879e-07,17.59401350011138,10.884,True,20.552,True,0.9992852037169406,0.4875607663711753
3.123037970453879e-07,3103,26891,105233,1793,0.7906582980586776,0.5289659284006417,0.8549680512524245,0.20352850352698978,0.3662173202614379,0.19314115087525388,lstm,3,0.9,3,3.123037970453879e-07,12.690590032921556,16.022,True,25.662,True,0.9992852037169406,0.4875607663711753
3.123037970453879e-07,3103,26891,105233,1793,0.7906582980586776,0.5289659284006417,0.8549680512524245,0.20352850352698978,0.3662173202614379,0.19314115087525388,lstm,3,0.9,5,3.123037970453879e-07,6.774675882236319,26.295,True,77.706,True,0.9992852037169406,0.4875607663711753
2.0500674509094097e-06,2324,3625,128499,2572,0.9547730258356444,0.7025196605416026,0.956878219365699,0.027436347673397716,0.5253267973856209,0.4073557538913273,lstm,3,0.95,1,2.0500674509094097e-06,8.354373388422879,5.746,True,5.538,True,0.9985704074338814,0.265084358021161
2.0500674509094097e-06,2324,3625,128499,2572,0.9547730258356444,0.7025196605416026,0.956878219365699,0.027436347673397716,0.5253267973856209,0.4073557538913273,lstm,3,0.95,2,2.0500674509094097e-06,2.9367530819709864,10.884,True,10.694,True,0.9985704074338814,0.265084358021161
2.0500674509094097e-06,2324,3625,128499,2572,0.9547730258356444,0.7025196605416026,0.956878219365699,0.027436347673397716,0.5253267973856209,0.4073557538913273,lstm,3,0.95,3,2.0500674509094097e-06,1.277540600640808,16.022,True,15.953,True,0.9985704074338814,0.265084358021161
2.0500674509094097e-06,2324,3625,128499,2572,0.9547730258356444,0.7025196605416026,0.956878219365699,0.027436347673397716,0.5253267973856209,0.4073557538913273,lstm,3,0.95,5,2.0500674509094097e-06,0.5460028293195155,26.295,True,30.806,True,0.9985704074338814,0.265084358021161
2.128445339621976e-05,1889,118,132006,3007,0.9771931104948183,0.7678000793332398,0.9725439373120228,0.0008931004208168085,0.6141748366013072,0.5947496135140184,lstm,3,0.99,1,2.128445339621976e-05,0.46118685583298885,5.746,True,15.418,True,0.997855611150822,0.14097798112668
2.128445339621976e-05,1889,118,132006,3007,0.9771931104948183,0.7678000793332398,0.9725439373120228,0.0008931004208168085,0.6141748366013072,0.5947496135140184,lstm,3,0.99,2,2.128445339621976e-05,0.09011697182943461,10.884,True,20.552,True,0.997855611150822,0.14097798112668
2.128445339621976e-05,1889,118,132006,3007,0.9771931104948183,0.7678000793332398,0.9725439373120228,0.0008931004208168085,0.6141748366013072,0.5947496135140184,lstm,3,0.99,3,2.128445339621976e-05,0.031805990057447504,16.022,True,25.662,True,0.997855611150822,0.14097798112668
2.128445339621976e-05,1889,118,132006,3007,0.9771931104948183,0.7678000793332398,0.9725439373120228,0.0008931004208168085,0.6141748366013072,0.5947496135140184,lstm,3,0.99,5,2.128445339621976e-05,0.010601996685815835,26.295,True,87.205,True,0.997855611150822,0.14097798112668
3.990168625023216e-05,1803,55,132069,3093,0.9770252517880601,0.7610640935819512,0.9719887111816843,0.00041627561987224123,0.6317401960784313,0.5903703274290101,lstm,3,0.995,1,3.990168625023216e-05,0.18553494200177711,5.746,True,15.418,True,0.997855611150822,0.11638547326279668
