feature,column,normal_mean,normal_std,attack_mean,attack_std,nan_%
epre,epre,-103.9705,15.1381,-110.9355,11.6189,0.0
pusch_snr,pusch_snr,24.7672,9.0822,21.9359,6.6735,0.0
p_ue,p_ue,-8.7862,12.0756,-9.7999,8.0236,0.0001
ul_mcs,ul_mcs,18.4291,7.549,16.0075,7.526,0.0166
cqi,cqi,12.146,3.2581,10.2827,3.973,0.0
ul_bitrate,ul_bitrate,5322600.7336,8440699.0524,6289109.2773,6826681.1024,0.0
dl_mcs,dl_mcs,19.3266,7.5673,15.7872,9.3697,0.0105
dl_retx,dl_retx,35.011,57.3869,41.6205,48.9873,0.0
ul_tx,ul_tx,608.5625,688.9997,780.6398,383.1483,0.0
dl_tx,dl_tx,592.8511,799.9302,288.5637,158.495,0.0
ul_retx,ul_retx,56.6748,74.7984,106.9172,86.4648,0.0
dl_bitrate,dl_bitrate,1156503.5061,1573064.8018,45718.6871,35176.908,0.0
dl_err,dl_err,0.0557,0.4082,0.3575,1.2594,0.0
ul_err,ul_err,0.0976,0.6799,2.9361,10.9026,0.0
